"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"281",92935,"ENSG00000247626","MARS2","ENST00000282276"
"282",678,"ENSG00000152518","ZFP36L2","ENST00000282388"
"283",4154,"ENSG00000152601","MBNL1","ENST00000282488"
"284",654,"ENSG00000153162","BMP6","ENST00000283147"
"285",221393,"ENSG00000153294","ADGRF4","ENST00000283303"
"286",22934,"ENSG00000153574","RPIA","ENST00000283646"
"287",55740,"ENSG00000154380","ENAH","ENST00000284563"
"288",5506,"ENSG00000154415","PPP1R3A","ENST00000284602"
"289",4685,"ENSG00000154654","NCAM2","ENST00000284894"
"290",729288,"ENSG00000290687","ZNF286B","ENST00000285274"
"291",8324,"ENSG00000155760","FZD7","ENST00000286201"
"292",134353,"ENSG00000155858","LSM11","ENST00000286307"
"293",10592,"ENSG00000136824","SMC2","ENST00000286398"
"294",2334,"ENSG00000155966","AFF2","ENST00000286437"
"295",157657,"ENSG00000156172","CFAP418","ENST00000286688"
"296",9154,"ENSG00000156222","SLC28A1","ENST00000286749"
"297",392255,"ENSG00000156466","GDF6","ENST00000287020"
"298",163786,"ENSG00000156876","SASS6","ENST00000287482"
"299",7079,"ENSG00000157150","TIMP4","ENST00000287814"
"300",8321,"ENSG00000157240","FZD1","ENST00000287934"
"301",64146,"ENSG00000258429","PDF","ENST00000288022"
"302",114991,"ENSG00000157657","ZNF618","ENST00000288466"
"303",169611,"ENSG00000185585","OLFML2A","ENST00000288815"
"304",115572,"ENSG00000158246","TENT5B","ENST00000289166"
"305",3017,"ENSG00000158373","H2BC5","ENST00000289316"
"306",11013,"ENSG00000158164","TMSB15A","ENST00000289373"
"307",57685,"ENSG00000158966","CACHD1","ENST00000290039"
"308",57369,"ENSG00000159248","GJD2","ENST00000290374"
"309",201176,"ENSG00000159314","ARHGAP27","ENST00000290470"
"310",7832,"ENSG00000159388","BTG2","ENST00000290551"
"311",1476,"ENSG00000160213","CSTB","ENST00000291568"
"312",81543,"ENSG00000160233","LRRC3","ENST00000291592"
"313",199777,"ENSG00000188171","ZNF626","ENST00000291750"
"314",26086,"ENSG00000160360","GPSM1","ENST00000291775"
"315",147746,"ENSG00000160396","HIPK4","ENST00000291823"
"316",51043,"ENSG00000160685","ZBTB7B","ENST00000292176"
"317",5439,"ENSG00000005075","POLR2J","ENST00000292614"
"318",113251,"ENSG00000161813","LARP4","ENST00000293618"
"319",57585,"ENSG00000007545","CRAMP1","ENST00000293925"
"320",4917,"ENSG00000162068","NTN3","ENST00000293973"
"321",116362,"ENSG00000162444","RBP7","ENST00000294435"
"322",148870,"ENSG00000162592","CCDC27","ENST00000294600"
"323",148304,"ENSG00000162757","C1orf74","ENST00000294811"
"324",79762,"ENSG00000162817","C1orf115","ENST00000294889"
"325",84661,"ENSG00000162961","DPY30","ENST00000295066"
"326",3754,"ENSG00000162975","KCNF1","ENST00000295082"
