"","ENTREZID","SYMBOL","NR_PROB","ESR_PROB","EAR_PROB","LR_PROB","DNR.3H.P.PRIOR","DOX.3H.P.PRIOR","EPI.3H.P.PRIOR","MTX.3H.P.PRIOR","TRZ.3H.P.PRIOR","DNR.24H.P.PRIOR","DOX.24H.P.PRIOR","EPI.24H.P.PRIOR","MTX.24H.P.PRIOR","TRZ.24H.P.PRIOR","MOTIF"
"8465",64062,"RBM26",0.993551429501799,1.40572947319749e-05,0.00178732881347954,0.00464718438998887,0.0018300232552807,0.00159345891284981,0.00228856210157296,0.00168084170707492,0.00123634473981114,0.00470619450481897,0.00467417439934436,0.00478766569597994,0.00207165171841215,0.00120983765159056,"NR"
"8466",100505538,"RBM26-AS1",0.993385655636722,5.94751534680452e-06,0.00057818185499238,0.0060302149929391,0.000629360523988142,0.000547413986281759,0.000627573910096849,0.00076926137643015,0.00134372072579497,0.00612507690601118,0.00608471180833124,0.00605661346328733,0.00204490016588204,0.00128114851745614,"NR"
"8467",54602,"NDFIP2",0.989153591128226,3.20243350321126e-06,0.000226149659532372,0.0106170567787387,0.000281574717519295,0.000286953848193738,0.00028022905377529,0.000264134868306549,0.00116473983650621,0.0107835500600044,0.0106078465641955,0.0106366454196543,0.0419001999723098,0.0013661924185603,"NR"
"8468",407975,"MIR17HG",0.995552476755485,2.95275233024389e-06,0.00056549245648513,0.00387907803569945,0.000627070925729634,0.000723756801585247,0.000612553755666259,0.000579214861447072,0.00115895080689144,0.00389657817662993,0.00389132396267383,0.00395844404613394,0.0544009896105822,0.00126827370369163,"NR"
"8469",10257,"ABCC4",0.999326814405325,1.75270413419711e-07,0.000223311703136561,0.000449698621125025,0.000275832724912328,0.000263941041378616,0.000284929432677191,0.000258417324402765,0.00115537718864782,0.000478276571787991,0.000468576708944019,0.000474612408810883,0.0012488320035108,0.00118215410343634,"NR"
"8470",5611,"DNAJC3",0.97853655900943,7.14809539856339e-06,0.000202357309487104,0.0212539355856846,0.000269387136779317,0.000242934851614151,0.000261018249167075,0.000251744046335712,0.0011577542387888,0.0213532179295064,0.0213908147467064,0.021248425876383,0.00244956342781647,0.00123136165937066,"NR"
"8471",55757,"UGGT2",0.994743814546485,2.34101370220187e-06,0.000275734762675382,0.00497810967713756,0.000333816077564993,0.0003457271307461,0.000336903976937687,0.000303576609016641,0.0011553301637987,0.00508000954815895,0.00500598545151237,0.00501452826485879,0.00237460305027791,0.00119352143482941,"NR"
"8472",5911,"RAP2A",0.998515551434752,8.6712580037181e-07,0.000584525511243151,0.000899055928204794,0.000685546016130691,0.000593086490946215,0.000656240986300629,0.000585710951286093,0.00117718381237029,0.000939427044797657,0.000924171584538065,0.000919454080104796,0.00713842287490883,0.00121382237875329,"NR"
"8473",3843,"IPO5",0.999070371474784,2.78936763178061e-07,0.000232870800828289,0.000696478787624223,0.00029774742835713,0.000287554627297492,0.000282116772093879,0.000262527794792712,0.00114918503913893,0.000728482512672565,0.000715170348232943,0.000728639895053806,0.00257212126938818,0.00123462151158306,"NR"
"8474",23348,"DOCK9",0.99924110431927,2.36274674560214e-07,0.00031905501959388,0.000439604386461547,0.000381705535660552,0.000333514775714832,0.000375204036882441,0.000373419923580705,0.00115305853355649,0.000467458257828173,0.000458546242186674,0.000461317003047323,0.00484169523754023,0.00117990615901934,"NR"
