"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind2_87DX24h_S8_R2",6,39,38,21,162,28,138,51,123,546,1052,1244,2622,25557,46503,52603,113666,294734,644004,738054,871954,857584,906860,1056155,1115729,"41233656.0"
"trimmed_Ind2_87DX3h_S2_R1",2,44,124,46,240,57,263,124,283,1231,2691,2683,5731,44666,79116,99786,206022,519361,1066298,1191510,1429698,1338255,1335072,1411131,1203710,"33280651.0"
"trimmed_Ind2_87DX3h_S2_R2",2,44,122,45,238,56,260,119,274,1186,2640,2648,5628,44476,78798,99293,205126,517763,1063468,1188052,1426315,1322445,1331829,1409595,1204679,"33313694.0"
"trimmed_Ind2_87E24h_S9_R1",1,8,23,15,144,35,128,50,95,581,838,857,2042,15009,30851,38941,82355,204799,419471,491955,596603,595251,624655,763042,898834,"33110160.0"
"trimmed_Ind2_87E24h_S9_R2",1,8,23,15,141,34,129,48,95,569,829,839,2031,14946,30778,38762,82085,204351,418625,490793,595249,588756,623686,761163,897471,"33125316.0"
"trimmed_Ind2_87E3h_S3_R1",7,16,52,14,124,27,116,87,215,882,1991,1879,4304,32091,58562,70118,147277,396032,835918,959687,1197414,1158684,1181195,1301366,1251798,"37909637.0"
"trimmed_Ind2_87E3h_S3_R2",7,15,52,16,121,29,114,88,213,853,1953,1869,4258,32008,58399,69889,146767,395124,834112,957358,1195180,1145680,1178878,1298495,1249705,"37938310.0"
"trimmed_Ind2_87M24h_S10_R1",3,9,26,18,123,25,28,39,149,618,1272,1174,3313,28070,49330,66846,175864,421826,802623,930626,1045259,1093349,1155020,1318094,1247981,"39224268.0"
"trimmed_Ind2_87M24h_S10_R2",3,8,25,19,125,25,26,41,144,590,1257,1133,3224,27947,49141,66515,175098,420372,800292,927725,1042577,1080328,1151164,1313494,1247721,"39256959.0"
"trimmed_Ind2_87M3h_S4_R1",10,7,16,7,202,32,27,126,258,864,2059,1504,3364,37244,58701,73539,167124,435562,926319,1009603,1251217,1266638,1303384,1405395,1334666,"37270004.0"
"trimmed_Ind2_87M3h_S4_R2",10,7,14,7,202,32,26,117,260,815,2022,1467,3312,37082,58483,73198,166413,434108,923851,1006767,1248639,1252786,1300495,1402083,1332041,"37303635.0"
"trimmed_Ind2_87T24h_S11_R1",8,44,31,15,121,36,169,23,72,299,744,794,1615,16978,27417,30992,67105,175956,403041,463609,590162,599712,634618,774512,919417,"37517362.0"
"trimmed_Ind2_87T24h_S11_R2",8,45,31,15,119,36,170,23,72,287,726,776,1592,16977,27371,30916,66946,175649,402429,462591,589146,594402,634855,772700,917773,"37529197.0"
"trimmed_Ind2_87T3h_S5_R1",16,60,53,36,166,47,215,67,177,663,1369,1320,2751,25188,41078,50353,110934,289982,642212,724622,897604,875986,900966,1007760,992716,"32065126.0"
